Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR23370301,2023-02-17 07:44:22,2023-02-08 08:24:00,24470797,6693949094,24470797,273,1986,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370301/SRR23370301.lite.1,SRX19311291,HDL1_a_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710451,SAMN33101524,simple,4072,Capsicum annuum,HDL1_a_1,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,F086225A9530EEA21D7AD73E899A8B20,7FD4CE00C7156B8256EC63CE96CA4CE1
SRR23370300,2023-02-17 07:44:22,2023-02-08 08:24:10,23429365,6354728788,23429365,271,1887,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370300/SRR23370300.lite.1,SRX19311292,HDL1_a_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710452,SAMN33101525,simple,4072,Capsicum annuum,HDL1_a_2,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,AAECDF7C1055A7CE099227F8062B22B3,6FDE661F3D29191CFA3FA1B72B53BD79
SRR23370298,2023-02-17 07:44:22,2023-02-08 08:22:08,22062017,6056213680,22062017,274,1814,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370298/SRR23370298.lite.1,SRX19311294,HDL2_a_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710453,SAMN33101535,simple,4072,Capsicum annuum,HDL2_a_3,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,EA29CA3319F158D39FFDFA51C2F6A20E,B97EADB6562878C898FD0D7BE94FE05E
SRR23370299,2023-02-17 07:44:22,2023-02-08 08:23:50,24513192,6738455396,24513192,274,2018,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370299/SRR23370299.lite.1,SRX19311293,HDL2_a_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710454,SAMN33101534,simple,4072,Capsicum annuum,HDL2_a_2,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,EB6C5BD7B098C780A580E502DCE49B68,D9C6C3172CE14A650F99B67E37D95FB9
SRR23370297,2023-02-17 07:44:22,2023-02-08 08:25:29,23340129,6337528063,23340129,271,1885,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370297/SRR23370297.lite.1,SRX19311295,HDL2_b_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710455,SAMN33101536,simple,4072,Capsicum annuum,HDL2_b_1,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,38A049C3F4F3B54BE2E3DA6A7315BF98,FF14B74EB9795B4172D79B73359028B5
SRR23370296,2023-02-17 07:44:22,2023-02-08 08:23:58,23232511,6290656246,23232511,270,1862,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370296/SRR23370296.lite.1,SRX19311296,HDL2_b_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710456,SAMN33101537,simple,4072,Capsicum annuum,HDL2_b_2,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,571674A8206431E590FBBFCB2B23C1C3,013DFE1CEB9F500C550526AB7511F684
SRR23370295,2023-02-17 07:44:22,2023-02-08 08:23:33,24750124,6731385712,24750124,271,2007,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370295/SRR23370295.lite.1,SRX19311297,HDL2_b_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710457,SAMN33101538,simple,4072,Capsicum annuum,HDL2_b_3,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,76C4BBBD24FDCCB3905DEA6BB8AEEADE,A39232ED11C7B73445A625B81154D474
SRR23370294,2023-02-17 07:44:22,2023-02-08 08:34:36,23924069,6574317131,23924069,274,1958,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370294/SRR23370294.lite.1,SRX19311298,HDL2_c_1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710458,SAMN33101539,simple,4072,Capsicum annuum,HDL2_c_1,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,49B9F8C7E2551725CC9345845163BDC1,952C533484DCC1CA8B048A91A802DB87
SRR23370293,2023-02-17 07:44:22,2023-02-08 08:33:46,25089327,6855507602,25089327,273,2028,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370293/SRR23370293.lite.1,SRX19311299,HDL2_c_2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710459,SAMN33101540,simple,4072,Capsicum annuum,HDL2_c_2,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,A212E6CAD6EF06395E1E9AE50947D947,2AB1DAA5E2F6C5E6AA7F9B5490A8B24F
SRR23370292,2023-02-17 07:44:22,2023-02-08 08:24:36,23221556,6326845474,23221556,272,1869,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR023/23370/SRR23370292/SRR23370292.lite.1,SRX19311300,HDL2_c_3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421455,PRJNA932246,,932246,SRS16710460,SAMN33101541,simple,4072,Capsicum annuum,HDL2_c_3,,,,,,,no,,,,,"HAINAN UNIVERSITY, CHINA",SRA1586871,,public,6A6D48658E13D0CB40A31EAF5EBFA042,90D7DE0D488302FA05D641E5225F9A92
